average,0,1,2,3,sum,,error
0,1,0,0,0,1,0,0
0.1,0.93,0.05,0.02,0,1,0.09,-0.01
0.2,0.85,0.1,0.05,0,1,0.2,0
0.3,0.79,0.14,0.07,0,1,0.28,-0.02
0.4,0.72,0.18,0.1,0,1,0.38,-0.02
0.5,0.66,0.21,0.13,0,1,0.47,-0.03
0.6,0.6,0.24,0.15,0.01,1,0.57,-0.03
0.7,0.54,0.27,0.18,0.01,1,0.66,-0.04
0.8,0.49,0.29,0.2,0.02,1,0.75,-0.05
0.9,0.44,0.31,0.22,0.03,1,0.84,-0.06
1,0.4,0.33,0.24,0.03,1,0.9,-0.1
1.1,0.35,0.34,0.26,0.05,1,1.01,-0.09
1.2,0.31,0.35,0.28,0.06,1,1.09,-0.11
1.3,0.28,0.35,0.29,0.08,1,1.17,-0.13
1.4,0.24,0.35,0.31,0.1,1,1.27,-0.13
1.5,0.21,0.35,0.32,0.12,1,1.35,-0.15
1.6,0.18,0.34,0.32,0.16,1,1.46,-0.14
1.7,0.16,0.33,0.33,0.18,1,1.53,-0.17
1.8,0.14,0.31,0.33,0.22,1,1.63,-0.17
1.9,0.12,0.3,0.32,0.26,1,1.72,-0.18
2,0.11,0.27,0.31,0.31,1,1.82,-0.18
2.1,0.09,0.25,0.3,0.36,1,1.93,-0.17
2.2,0.09,0.21,0.28,0.42,1,2.03,-0.17
2.3,0.08,0.18,0.26,0.48,1,2.14,-0.16
2.4,0.08,0.14,0.23,0.55,1,2.25,-0.15
2.5,0.08,0.1,0.2,0.62,1,2.36,-0.14
